id,sku,link-href,name,origin_price,discount_percent,discount_percent,img-src,rating,review_count,brand_name,specification
329337,0220042002826,https://www.thegioididong.com/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001.16G),33.790.000₫,-31%,22.990.000₫,https://cdn.tgdd.vn/Products/Images/44/329337/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g-260824-111846-600x600.jpg,,,Acer,Săn mã đến 1 triệu 33.790.000₫ Quà 900.000₫ Màn hình: 15.6"; Full HD (1920 x 1080); 144Hz CPU: i7; 12700H; 2.30 GHz Card: RTX 3050Ti 4GB Pin: 4-cell; 57.5Wh Khối lượng: 2.5 kg
307185,0220042002272,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),13.090.000₫,-23%,9.990.000₫,https://cdn.tgdd.vn/Products/Images/44/307185/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003-thumb-600x600.png,4.5,4513,Acer,Săn mã đến 1 triệu 13.090.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i3; 1315U; 1.2GHz Card: Intel UHD Pin: 3-cell; 50Wh Khối lượng: 1.7 kg
304543,0220042002205,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),15.990.000₫,-21%,12.490.000₫,https://cdn.tgdd.vn/Products/Images/44/304543/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b-thumb-600x600.jpg,4.1,4110,Acer,Săn mã đến 1 triệu 15.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 1235U; 1.3GHz Card: Intel UHD Pin: 3-cell; 40Wh Khối lượng: 1.7 kg
330169,0220042002838,https://www.thegioididong.com/laptop/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005?utm_flashsale=1,Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005),37.990.000₫,-32%,25.490.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330169/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005-thumb-638627244359058726-600x600.jpg,,,Acer,Săn mã đến 1 triệu Online giá rẻ quá 37.990.000₫ Quà 900.000₫ Màn hình: 16"; WUXGA; 165Hz CPU: i5; 13500HX; 2.5GHz Card: RTX 4060 8GB Pin: 4-cell; 90Wh Khối lượng: 2.6 kg
313177,0220042002380,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,Laptop Acer Gaming Aspire 7 A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002),22.990.000₫,-19%,18.490.000₫,https://cdn.tgdd.vn/Products/Images/44/313177/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002-thumb-600x600.jpg,4.7,473,Acer,Săn mã đến 1 triệu 22.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080); 144Hz CPU: i5; 12450H; 2GHz Card: RTX 3050 4GB Pin: 3-cell; 50Wh Khối lượng: 2.1 kg
330167,0220042002840,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005,Laptop Acer Aspire 5 A515 58P 774R i7 1355U/16GB/512GB/Win11 (NX.KHJSV.005),19.990.000₫,-30%,13.990.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330167/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005-thumb-638628538439370885-600x600.jpg,,,Acer,Săn mã đến 1 triệu 19.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i7; 1355U; 1.7GHz Card: Intel Iris Xe Pin: 3-cell; 50Wh Khối lượng: 1.7 kg
327508,0220042002758,https://www.thegioididong.com/laptop/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002),13.990.000₫,-9%,12.690.000₫,https://cdn.tgdd.vn/Products/Images/44/327508/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002-thumb-600x600.jpg,,,Acer,Săn mã đến 1 triệu 13.990.000₫ Màn hình: 16"; WUXGA CPU: i5; 1235U; 1.3GHz Card: Intel UHD Pin: 3-cell Li-ion; 58 Wh Khối lượng: 1.7 kg
320870,0220042002547,https://www.thegioididong.com/laptop/acer-aspire-lite-15-51m-5542-i5-nxks5sv001,Laptop Acer Aspire Lite 15 51M 5542 i5 1155G7/16GB/512GB/Win11 (NX.KS5SV.001),13.990.000₫,-20%,11.190.000₫,https://cdn.tgdd.vn/Products/Images/44/320870/acer-aspire-lite-15-51m-5542-i5-nxks5sv001-thumb-2-600x600.jpg,2.5,254,Acer,Săn mã đến 1 triệu 13.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 1155G7; 2.5GHz Card: Intel Iris Xe Pin: 36Wh Khối lượng: 1.7 kg
325697,0220042002684,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,Laptop Acer Gaming Nitro V ANV15 51 55CA i5 13420H/16GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.004),27.990.000₫,-12%,24.490.000₫,https://cdn.tgdd.vn/Products/Images/44/325697/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004-thumb-600x600.jpg,,,Acer,Săn mã đến 1 triệu 27.990.000₫ Quà 900.000₫ Màn hình: 15.6"; Full HD (1920 x 1080); 144Hz CPU: i5; 13420H; 2.1GHz Card: RTX 4050 6GB Pin: 4-cell; 57Wh Khối lượng: 2.1 kg
324735,0220042002658,https://www.thegioididong.com/laptop/acer-aspire-lite-15-51m-55nb-i5-nxkrssv001,Laptop Acer Aspire Lite 15 51M 55NB i5 1155G7/8GB/512GB/Win11 (NX.KRSSV.001),12.990.000₫,-13%,11.190.000₫,https://cdn.tgdd.vn/Products/Images/44/324735/acer-aspire-lite-15-51m-55nb-i5-nxkrssv001-thumb-600x600.jpg,,,Acer,Săn mã đến 1 triệu 12.990.000₫ Màn hình: 15.6"; Full HD (1920 x 1080) CPU: i5; 1155G7; 2.5GHz Card: Intel Iris Xe Pin: 36Wh Khối lượng: 1.7 kg
