id,sku,link-href,name,origin_price,discount_percent,sale_price,img-src,rating,review_count,brand_name,specification,date
276063025,5440290833161,https://tiki.vn/laptop-hp-240-g9-i5-1235u-16gb-512gb-win11-ag2j7at-hang-chinh-hang-p276063025.html?spid=276063026,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT) - Hàng Chính Hãng,19590000,17%,16290000,https://salt.tikicdn.com/cache/280x280/ts/product/5b/a7/bc/8c4c7833c2213432727b7faa3ddee750.jpg,0,0,HP,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
248543177,4232352115051,https://tiki.vn/laptop-hp-pavilion-15-eg2036tx-i5-1235u-8gb-512gb-win11-6k782pa-hang-chinh-hang-p248543177.html?spid=249011667,Laptop HP Pavilion 15-EG2036TX i5-1235U/8GB/512GB/Win11 6K782PA - Hàng chính hãng,19320000,0%,19320000,https://salt.tikicdn.com/cache/280x280/ts/product/f6/e0/d7/5a23bec86010e94dca1cfb0096f9fa43.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
195902569,8510621871127,https://tiki.vn/laptop-hp-14-dv2033tu-i5-1235u-8gb-512gb-win11-6k769pa-hang-chinh-hang-p195902569.html?spid=249010700,Laptop HP 14-DV2033TU i5-1235U/8GB/512GB/Win11 6K769PA - Hàng chính hãng,18480000,0%,18480000,https://salt.tikicdn.com/cache/280x280/ts/product/76/1c/34/cc7263e728c54cbac5a3bbd61bad8f90.jpg,0,0,HP,GIA DỤNG VIỆT; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
275786068,9316982706959,https://tiki.vn/laptop-hp-15-fd0303tu-i3-1315u-8gb-512gb-win11-a2nl4pa-hang-chinh-hang-p275786068.html?spid=275786069,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA) - Hàng Chính Hãng,13490000,13%,11690000,https://salt.tikicdn.com/cache/280x280/ts/product/bd/99/dd/cd3ae17cc9a2221230acb5f826b7948f.jpg,0,0,HP,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
273716533,9831707285324,https://tiki.vn/laptop-asus-expertbook-b1502cba-b1502-intel-core-i5-1235u-ram-8gb-512gb-ssd-intel-uhd-graphics-15-6-inch-full-hd-win-11-ban-quyen-hang-chinh-hang-p273716533.html?spid=273716534,Laptop Asus Expertbook B1502CBA B1502 (Intel Core i5-1235U | RAM 8GB | 512GB SSD | Intel UHD Graphics | 15.6 inch Full HD | Win 11 bản quyền) - Hàng Chính Hãng,18890000,27%,13790000,https://salt.tikicdn.com/cache/280x280/ts/product/8b/45/b8/217c5775bd403c6badf2cb99805f5e27.jpg,0,0,Asus,ThuanThienTs; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
275786072,7693485785059,https://tiki.vn/laptop-asus-vivobook-15-oled-a1505za-i5-12500h-16gb-512gb-120hz-win11-ma415w-hang-chinh-hang-p275786072.html?spid=275786073,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W) - Hàng Chính Hãng,19990000,15%,16990000,https://salt.tikicdn.com/cache/280x280/ts/product/57/66/98/62a7f18e059dd102bfca3affc7de9382.jpg,0,0,Asus,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
275786086,5068100405943,https://tiki.vn/laptop-hp-pavilion-15-eg3093tu-i5-1335u-16gb-512gb-win11-8c5l4pa-hang-chinh-hang-p275786086.html?spid=275786087,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA) - Hàng Chính Hãng,21290000,14%,18290000,https://salt.tikicdn.com/cache/280x280/ts/product/53/99/b7/77dc051bbd7b28ac20797a28e8af0a9b.jpg,0,0,HP,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
225917309,7964327078017,https://tiki.vn/laptop-hp-240-g9-6l1y2pa-i5-1235u-8gb-512gb-14-fhd-w11-p225917309.html?spid=225917313,Laptop HP 240 G9 6L1Y2PA i5-1235U | 8GB | 512GB | 14' FHD | W11 Hàng chính hãng,18590000,0%,18590000,https://salt.tikicdn.com/cache/280x280/ts/product/b7/86/1d/dd690fb04ef040479a4ef2f65ed43f43.jpg,0,0,HP,Hangchinhhieu(TP.HCM); Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
275786137,9633638945782,https://tiki.vn/laptop-hp-pavilion-15-eg2081tu-i5-1240p-16gb-512gb-win11-7c0q4pa-hang-chinh-hang-p275786137.html?spid=275786138,Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA) - Hàng Chính Hãng,20990000,0%,20990000,https://salt.tikicdn.com/cache/280x280/ts/product/74/91/0c/3c5e37b86c293f0b0b279988c6694688.jpg,0,0,HP,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
275938043,4234305125769,https://tiki.vn/laptop-hp-pavilion-15-eg3091tu-i7-1355u-16gb-512gb-win11-8c5l2pa-hang-chinh-hang-p275938043.html?spid=275938044,Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA) - Hàng Chính Hãng,25290000,10%,22790000,https://salt.tikicdn.com/cache/280x280/ts/product/34/e4/52/6e872528b69c1ffd59aec99bcb5d5cc7.jpg,0,0,HP,Thế Giới Di Động Official; Laptop Truyền Thống ;Laptop - Máy Vi Tính - Linh kiện ;Trung Quốc,2024-11-21
