id,sku,product_name,short_description,price,list_price,origin_price,discount,discount_rate,all_time_quantity_sold,rating_average,review_count,inventory_status,stock_item_qty,stock_item_max_sale_qty,brand_id,brand_name,url_key,url_path,specification,variations,date
199104980,9032195710758,Laptop HP 240 G9 6L1Y1PA |i5-1235U|8GB RAM |256GB SSD |14"FHD|Win11 - Hàng Chính Hãng,Laptop HP 240 G9 6L1Y1PA |i5-1235U|8GB RAM |256GB SSD |14"FHD|Win11 - Hàng Chính Hãng tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,16680000,16680000,16680000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-240-g9-6l1y1pa-i5-1235u-8gb-ram-256gb-ssd-14-fhd-win11-hang-chinh-hang-p199104980,laptop-hp-240-g9-6l1y1pa-i5-1235u-8gb-ram-256gb-ssd-14-fhd-win11-hang-chinh-hang-p199104980.html?spid=249009800,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Mỹ"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
169264166,8725450554583,Máy tính xách tay Laptop HP (Core i5-1135G7/ 8GB/ 256GB/ 14HD/ Win11/màu Bạc ) - Hàng Chính Hãng,Máy tính xách tay Laptop HP (Core i5-1135G7/ 8GB/ 256GB/ 14HD/ Win11/màu Bạc ) - Hàng Chính Hãng tại AN PHAT COMPUTER giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,16290000,16290000,16290000,0,0,,0,0,availability,89,20,17825,HP,may-tinh-xach-tay-laptop-hp-14s-dq2545tu-46m23pa-core-i5-1135g7-8gb-256gb-14hd-win11-hang-chinh-hang-p169264166,may-tinh-xach-tay-laptop-hp-14s-dq2545tu-46m23pa-core-i5-1135g7-8gb-256gb-14hd-win11-hang-chinh-hang-p169264166.html?spid=169264167,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"AN PHAT COMPUTER"},[],2024-12-06
252566514,1843323041277,Máy Tính Xách Tay Laptop Asus Vivobook 15 Bạc/ Intel Core i3-1315U Processor (upto 4.5Ghz  10MB)/ RAM 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD/ Win 11H/ 2Yrs - Hàng Chính Hãng,Máy Tính Xách Tay Laptop Asus Vivobook 15 Bạc/ Intel Core i3-1315U Processor (upto 4.5Ghz  10MB)/ RAM 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD/ Win 11H/ 2Yrs - Hàng Chính Hãng tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,15000000,15000000,15000000,0,0,,0,0,availability,89,20,17826,Asus,may-tinh-xach-tay-laptop-asus-vivobook-15-bac-intel-core-i3-1315u-processor-upto-4-5ghz-10mb-ram-8gb-512gb-ssd-intel-uhd-graphics-15-6inch-fhd-win-11h-2yrs-hang-chinh-hang-p252566514,may-tinh-xach-tay-laptop-asus-vivobook-15-bac-intel-core-i3-1315u-processor-upto-4-5ghz-10mb-ram-8gb-512gb-ssd-intel-uhd-graphics-15-6inch-fhd-win-11h-2yrs-hang-chinh-hang-p252566514.html?spid=252566515,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
275786147,8157822508887,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W) - Hàng Chính Hãng,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W) - Hàng Chính Hãng tại Thế Giới Di Động Official giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,11990000,11990000,11990000,0,0,,0,0,availability,89,20,17826,Asus,laptop-asus-vivobook-x1404za-i3-1215u-8gb-512gb-win11-nk246w-hang-chinh-hang-p275786147,laptop-asus-vivobook-x1404za-i3-1215u-8gb-512gb-win11-nk246w-hang-chinh-hang-p275786147.html?spid=275786148,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"Thế Giới Di Động Official"},[],2024-12-06
249947165,4478631652982,Máy Tính Xách Tay Laptop HP 245 G8 (R3-3250U/4GB/256GB SSD/14''HD/Win11/Bạc) - Hàng Chính Hãng,Máy Tính Xách Tay Laptop HP 245 G8 (R3-3250U/4GB/256GB SSD/14''HD/Win11/Bạc) - Hàng Chính Hãng tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,9120000,9120000,9120000,0,0,,0,0,availability,89,20,17825,HP,may-tinh-xach-tay-laptop-hp-245-g8-r3-3250u-4gb-256gb-ssd-14-hd-win11-bac-hang-chinh-hang-p249947165,may-tinh-xach-tay-laptop-hp-245-g8-r3-3250u-4gb-256gb-ssd-14-hd-win11-bac-hang-chinh-hang-p249947165.html?spid=249947166,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
274754596,3029811557513,Laptop HP 15 fd0237TU 9Q972PA (Core i5 1334U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng,Laptop HP 15 fd0237TU 9Q972PA (Core i5 1334U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng tại An Khang Computer giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,15390000,15390000,15390000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-15-fd0237tu-9q972pa-core-i5-1334u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6inch-full-hd-windows-11-home-ba-c-hang-chinh-hang-bao-hanh-12-thang-p274754596,laptop-hp-15-fd0237tu-9q972pa-core-i5-1334u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6inch-full-hd-windows-11-home-ba-c-hang-chinh-hang-bao-hanh-12-thang-p274754596.html?spid=274754598,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"China"; "sellerName":"An Khang Computer"},[],2024-12-06
247719163,9454375054810,Laptop Asus ExpertBook B1400 (Chip Intel Core i5-1235U | RAM 8GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng,Laptop Asus ExpertBook B1400 (Chip Intel Core i5-1235U | RAM 8GB | SSD 512GB NVMe | 14' Full HD | Bảo mật vân tay | Bảo mật TPM 2.0 | Độ bền chuẩn quân đội US) - Hàng Chính Hãng - windows 11 tại ThuanThienTs giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,14590000,14590000,20999000,6409000,31,,5,1,availability,89,20,17826,Asus,laptop-asus-expertbook-b1400-chip-intel-core-i5-1235u-ram-8gb-ssd-512gb-nvme-14-full-hd-bao-mat-van-tay-bao-mat-tpm-2-0-do-ben-chuan-quan-doi-us-hang-chinh-hang-p247719163,laptop-asus-expertbook-b1400-chip-intel-core-i5-1235u-ram-8gb-ssd-512gb-nvme-14-full-hd-bao-mat-van-tay-bao-mat-tpm-2-0-do-ben-chuan-quan-doi-us-hang-chinh-hang-p247719163.html?spid=247719167,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"ThuanThienTs"},[],2024-12-06
276063025,5440290833161,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT) - Hàng Chính Hãng,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT) - Hàng Chính Hãng tại Thế Giới Di Động Official giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,15990000,15990000,19590000,3600000,18,,0,0,availability,89,20,17825,HP,laptop-hp-240-g9-i5-1235u-16gb-512gb-win11-ag2j7at-hang-chinh-hang-p276063025,laptop-hp-240-g9-i5-1235u-16gb-512gb-win11-ag2j7at-hang-chinh-hang-p276063025.html?spid=276063026,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"Thế Giới Di Động Official"},[],2024-12-06
273333335,8784415487128,Laptop HP 15s-fq5228TU Core i3-1215U 8GB RAM 512GB SSD Intel Graphics 15.6"FHD Webcam 3 Cell Wlan ac+BT Win11 Home 64 Spruce Blue 1Y WTY_8U240PA - Hàng Chính Hãng,Laptop HP 15s-fq5228TU Core i3-1215U 8GB RAM 512GB SSD Intel Graphics 15.6"FHD Webcam 3 Cell Wlan ac+BT Win11 Home 64 Spruce Blue 1Y WTY_8U240PA - Hàng Chính Hãng tại HP Official Store giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,12790000,12790000,12790000,0,0,,0,0,availability,89,20,17825,HP,laptop-hp-15s-fq5228tu-core-i3-1215u-8gb-ram-512gb-ssd-intel-graphics-15-6-fhd-webcam-3-cell-wlan-ac-bt-win11-home-64-spruce-blue-1y-wty_8u240pa-hang-chinh-hang-p273333335,laptop-hp-15s-fq5228tu-core-i3-1215u-8gb-ram-512gb-ssd-intel-graphics-15-6-fhd-webcam-3-cell-wlan-ac-bt-win11-home-64-spruce-blue-1y-wty_8u240pa-hang-chinh-hang-p273333335.html?spid=273333336,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"HP Official Store"},[],2024-12-06
248755613,4724128302001,Máy Tính Xách Tay Laptop HP 15s-fq2711TU i3 1115G4/8GB/256GB/15.6"FHD/Win 11 - Hàng Chính Hãng,Máy Tính Xách Tay Laptop HP 15s-fq2711TU i3 1115G4/8GB/256GB/15.6"FHD/Win 11 - Hàng Chính Hãng tại GIA DỤNG VIỆT giá cực tốt  hoàn tiền 111% nếu hàng giả  nhiều mã giảm giá hôm nay  freeship  giao nhanh 2h. Mua hàng nhanh chóng  thanh toán an toàn tại Tiki. Mua ngay!,11760000,11760000,11760000,0,0,,0,0,availability,89,20,17825,HP,may-tinh-xach-tay-laptop-hp-15s-fq2711tu-i3-1115g4-8gb-256gb-15-6-fhd-win-11-hang-chinh-hang-p248755613,may-tinh-xach-tay-laptop-hp-15s-fq2711tu-i3-1115g4-8gb-256gb-15-6-fhd-win-11-hang-chinh-hang-p248755613.html?spid=248755614,{"categoryL1Name":"Laptop - Máy Vi Tính - Linh kiện"; "primaryCategoryName":"Laptop Truyền Thống"; "origin":"Trung Quốc"; "sellerName":"GIA DỤNG VIỆT"},[],2024-12-06
