id,sku,product_name,short_description,price,list_price,origin_price,discount,discount_rate,all_time_quantity_sold,rating_average,review_count,inventory_status,stock_item_qty,stock_item_max_sale_qty,brand_id,brand_name,url_key,url_path,thumbnail_url,options,specification,variations,date
329337,0220042002826,Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001.16G),Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H (NH.QFKSV.001.16G) không chỉ đáp ứng hoàn hảo mọi nhu cầu mà còn vượt trội hơn với hàng loạt tính năng tiên tiến; mang lại trải nghiệm tuyệt vời cho người dùng ở mọi khía cạnh. Từ sức mạnh phần cứng đến thiết kế; chiếc máy này chắc chắn sẽ trở thành "vũ khí" giúp bạn thăng hoa trong từng trận đấu.,22990000,33790000,33790000,10800000,31,,5,5,availability,42,22,44,Acer,acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,https://cdn.tgdd.vn/Products/Images/44/329337/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g-260824-111846-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080); 144Hz";"cpu":"CPU: i7; 12700H; 2.30 GHz";"weight":"Khối lượng: 2.5 kg";"battery":"Pin: 4-cell; 57.5Wh";"card":"Card: RTX 3050Ti 4GB"},[],2024-12-09
332578,0220042002953,Laptop Acer Aspire 7 A715 76 53PJ i5 12450H/16GB/512GB/Win11 (NH.QGESV.007),N/A,13990000,15990000,15990000,2000000,12,,0,0,availability,42,22,44,Acer,acer-aspire-7-a715-76-53pj-i5-nhqgesv007,/laptop/acer-aspire-7-a715-76-53pj-i5-nhqgesv007,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332578/acer-aspire-7-a715-76-53pj-i5-nhqgesv007-thumb-638684900833732192-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 12450H; 2GHz";"weight":"Khối lượng: 2.1 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel UHD"},[],2024-12-09
304543,0220042002205,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),Laptop Acer Aspire 3 A315 59 5283 i5 (NX.K6TSV.00B) là một trong những sản phẩm nổi bật của thương hiệu Acer trong phân khúc tầm trung; được thiết kế để đáp ứng nhu cầu của người dùng về đa nhiệm; hỗ trợ cho các tác vụ làm việc văn phòng; học tập hay giải trí.,12990000,15990000,15990000,3000000,18,,4.9,49,availability,42,22,44,Acer,acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,https://cdn.tgdd.vn/Products/Images/44/304543/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 1235U; 1.3GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 40Wh";"card":"Card: Intel UHD"},[],2024-12-09
330167,0220042002840,Laptop Acer Aspire 5 A515 58P 774R i7 1355U/16GB/512GB/Win11 (NX.KHJSV.005),Laptop Acer Aspire 5 A515 58P 774R i7 1355U (NX.KHJSV.005) - giải pháp công việc; học tập hoàn hảo cho mọi đối tượng người dùng; máy còn đáp ứng được tốt các nhu cầu giải trí đa phương tiện. Trải nghiệm ngay công cụ hữu ích này tại Thế Giới Di Động với mức giá cực kì ưu đãi lại sở hữu nhiều tính năng hiện đại.,13990000,19990000,19990000,6000000,30,,5,5,availability,42,22,44,Acer,acer-aspire-5-a515-58p-774r-i7-nxkhjsv005,/laptop/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330167/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005-thumb-638628538439370885-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i7; 1355U; 1.7GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel Iris Xe"},[],2024-12-09
323587,0220042002633,Laptop Acer Aspire 5 A515 58M 56YX i5 13420H/16GB/512GB/Win11 (NX.KQ8SV.005),Laptop Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005) là một trong những sự lựa chọn đáng chú ý trong phân khúc laptop cận trung cấp hiện nay. Với thiết kế tinh tế; hiệu suất mạnh mẽ và giá cả phải chăng; sản phẩm này hứa hẹn mang lại trải nghiệm đáng giá cho bạn.,14690000,17490000,17490000,2800000,16,,5,5,availability,42,22,44,Acer,acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,/laptop/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,https://cdn.tgdd.vn/Products/Images/44/323587/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005-290624-013508-600x600.png,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 13420H; 2.1GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel UHD"},[],2024-12-09
325699,0220042002685,Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H/8GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.008),Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H (NX.KQ4SV.008) nổi lên như một "ngôi sao sáng" trong phân khúc laptop cận trung cấp; thu hút sự chú ý của đông đảo người dùng. Sở hữu thiết kế tinh tế; hiệu năng ấn tượng từ chip Intel thế hệ 13 cùng mức giá hợp lý; sản phẩm này hứa hẹn sẽ mang đến cho bạn trải nghiệm giải trí và làm việc tuyệt vời.,15490000,20490000,20490000,5000000,24,,4.9,49,availability,42,22,44,Acer,acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,https://cdn.tgdd.vn/Products/Images/44/325699/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008-thumb-1-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 13420H; 2.1GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 50 Wh";"card":"Card: RTX 2050 4GB"},[],2024-12-09
313177,0220042002380,Laptop Acer Gaming Aspire 7 A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002),Laptop Acer Aspire 7 Gaming A715 76G 5806 i5 12450H (NH.QMFSV.002) đến từ nhà Acer với các thông số cấu hình đầy mạnh mẽ; card rời RTX 30 series cũng như sở hữu một mức giá thành lý tưởng; chắc chắn sẽ mang đến cho anh em những trải nghiệm tuyệt vời.,18490000,22990000,22990000,4500000,19,,4.9,49,availability,42,22,44,Acer,acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,https://cdn.tgdd.vn/Products/Images/44/313177/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002-thumb-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080); 144Hz";"cpu":"CPU: i5; 12450H; 2GHz";"weight":"Khối lượng: 2.1 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: RTX 3050 4GB"},[],2024-12-09
327508,0220042002758,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002),Bạn đang tìm kiếm một chiếc laptop đáp ứng tốt nhu cầu học tập; văn phòng và giải trí nhẹ nhàng? Laptop Acer Aspire Lite AL16 51P 596H i5 1235U (NX.KWZSV.002) là lựa chọn hoàn hảo dành cho bạn với hiệu năng mạnh mẽ; màn hình đẹp; thiết kế thanh lịch và giá cả hợp lý. Sự cân bằng hoàn hảo nhưng hiện tại đang có một mức giá vô cùng tốt tại Thế Giới Di Động.,12690000,13990000,13990000,1300000,9,,5,5,availability,42,22,44,Acer,acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,/laptop/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,https://cdn.tgdd.vn/Products/Images/44/327508/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 16\"; WUXGA";"cpu":"CPU: i5; 1235U; 1.3GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell Li-ion; 58 Wh";"card":"Card: Intel UHD"},[],2024-12-09
320870,0220042002547,Laptop Acer Aspire Lite 15 51M 5542 i5 1155G7/16GB/512GB/Win11 (NX.KS5SV.001),Laptop Acer Aspire Lite 15 51M 5542 i5 1155G7 (NX.KS5SV.001) đưa đến một trải nghiệm toàn diện cho người dùng với sự kết hợp độc đáo giữa thiết kế thanh lịch; hiệu suất ổn định và tính năng đa dạng. Sản phẩm hứa hẹn mang lại sự lựa chọn lý tưởng cho những bạn trong phân khúc học sinh; sinh viên và nhân viên văn phòng.,11190000,13990000,13990000,2800000,20,,4.9,49,availability,42,22,44,Acer,acer-aspire-lite-15-51m-5542-i5-nxks5sv001,/laptop/acer-aspire-lite-15-51m-5542-i5-nxks5sv001,https://cdn.tgdd.vn/Products/Images/44/320870/acer-aspire-lite-15-51m-5542-i5-nxks5sv001-thumb-2-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 1155G7; 2.5GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 36Wh";"card":"Card: Intel Iris Xe"},[],2024-12-09
325697,0220042002684,Laptop Acer Gaming Nitro V ANV15 51 55CA i5 13420H/16GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.004),Acer đã mang trở lại dòng sản phẩm Gaming Nitro với diện mạo mới đầy cá tính và hấp dẫn. Chiếc laptop Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004) không chỉ gây ấn tượng mạnh với thiết kế đậm cá tính mà còn được trang bị cấu hình mạnh mẽ; hứa hẹn mang lại nhiều xúc cảm tuyệt vời khi chơi game.,24390000,27990000,27990000,3600000,12,,5,5,availability,42,22,44,Acer,acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,https://cdn.tgdd.vn/Products/Images/44/325697/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004-thumb-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080); 144Hz";"cpu":"CPU: i5; 13420H; 2.1GHz";"weight":"Khối lượng: 2.1 kg";"battery":"Pin: 4-cell; 57Wh";"card":"Card: RTX 4050 6GB"},[],2024-12-09
